Year,Month,tran_Lat,tran_Lon,No,Day,Lat,Lon,SST.boat.,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,Tonnage.A,HP.A,Light.A,area,cluster11,cluster12,cluster13,SST,chla,SSS,dummy
2009,2,25.2,121.8,15409,23,25.14,121.82,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.18,0.47,0,0
2009,2,25.2,121.8,15406,21,25.18,121.78,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.18,0.47,0,0
2009,2,25.2,121.8,15418,25,25.14,121.84,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.18,0.47,0,0
2009,2,25.2,121.8,15413,24,25.14,121.82,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.18,0.47,0,0
2009,2,25.2,121.8,15400,6,25.14,121.82,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.18,0.47,0,0
2009,2,26.4,122.8,15428,28,26.33,122.85,21,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,22.71,NA,-0.01,1
2009,2,26.4,122.8,15412,23,26.33,122.83,21,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,22.71,NA,-0.01,1
2009,2,26.4,122.8,15416,24,26.33,122.88,21,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,22.71,NA,-0.01,1
2009,2,26.4,122.8,15421,25,26.33,122.88,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,8,7,7,22.71,NA,-0.01,1
2009,2,26.8,123.8,15429,28,26.75,123.75,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,8,7,7,21.58,NA,-0.01,1
2009,2,26.8,123.8,15425,26,26.75,123.87,17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,8,7,7,21.58,NA,-0.01,1
2009,2,26.8,123.8,15426,27,26.87,123.87,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,2,8,7,7,21.58,NA,-0.01,1
2009,2,25.2,121.8,15409,23,25.14,121.82,15.6,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.18,0.47,0,0
2009,2,25.2,121.8,15406,21,25.18,121.78,15.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.18,0.47,0,0
2009,2,25.2,121.8,15418,25,25.14,121.84,15.6,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,8,7,7,21.18,0.47,0,0
