No,Year,Month,Day,Lat,Lon,SST(boat),spe1,spe2,spe3,spe4,spe5,spe6,spe7,spe8,spe9,spe10,spe11,Tonnage A,HP A,Light A
15400,2009,2,6,25.14,121.82,,6,,,,,,,,,,,2,1,1
15406,2009,2,21,25.18,121.78,,6,,,,,,,,,,,2,1,1
15409,2009,2,23,25.14,121.82,,60,,,,,,,,,,,2,1,1
15412,2009,2,23,26.33,122.83,21,180,,,,,,,,,,,4,3,3
15413,2009,2,24,25.14,121.82,,18,,,,,,,,,,,2,1,1
15416,2009,2,24,26.33,122.88,21,300,,,,,,,,,,,4,3,3
15418,2009,2,25,25.14,121.84,,120,,,,,,,,,,,2,1,1
15421,2009,2,25,26.33,122.88,21,30,,,,,,,,,,,4,3,3
15425,2009,2,26,26.75,123.87,17,12,,,,,,,,,,,4,3,3
15426,2009,2,27,26.87,123.87,17,18,,,,,,,,,,,4,3,3
15428,2009,2,28,26.33,122.85,21,360,,,,,,,,,,,4,3,3
15429,2009,2,28,26.75,123.75,17,18,,,,,,,,,,,4,3,3
15430,2009,3,1,26.32,122.87,21,420,,,,,,,,,,,4,3,3
15433,2009,3,2,26.35,122.88,21,360,,,,,,,,,,,4,3,3
15435,2009,3,3,26.33,122.92,21,600,,,,,,,,,,,4,3,3
15439,2009,3,4,26.37,122.92,21,720,,,,,,,,,,,4,3,3
15443,2009,3,5,26.33,122.83,21,480,,,,,,,,,,,4,3,3
15444,2009,3,6,26.35,122.85,21,540,,,,,,,,,,,4,3,3
15446,2009,3,7,26.33,122.87,21,420,,,,,,,,,,,4,3,3
15449,2009,3,8,26.32,122.83,21,300,,,,,,,,,,,4,3,3
15452,2009,3,9,26.32,122.87,21,240,,,,,,,,,,,4,3,3
15456,2009,3,10,26.33,122.85,21,60,,,,,,,,,,,4,3,3
15461,2009,3,13,25.5,122.1,,66,,,,,,,,,,,2,1,1
15463,2009,3,14,25.5,122.1,,52.8,,,,,,,,,,,2,1,1
15466,2009,3,15,25.5,122.1,,54,,,,,,,,,,,2,1,1
15473,2009,3,18,25.06,121.94,,60,,,,,,,,,,,2,1,1
15476,2009,3,19,25.06,121.94,,51.6,,,,,,,,,,,2,1,1
15480,2009,3,20,25.06,121.94,,36,,,,,,,,,,,2,1,1
15482,2009,3,20,25.5,122.1,,27,,,,,,,,,,,2,1,1
15484,2009,3,20,26.63,123.65,20,120,,,120,,,,,,,,5,4,4
15485,2009,3,21,25.58,121.7,,180,,,,,,,,,,,2,1,1
15486,2009,3,21,25.18,121.77,,54,,,,,,,,,,,2,1,2
15487,2009,3,21,25.07,121.97,,48,,,,,,,,,,,3,1,1
15490,2009,3,21,26.67,123.7,21,180,,,60,,,,,,,,5,4,4
15491,2009,3,22,25.16,121.8,,6,,,,,,,,,,,2,1,1
15493,2009,3,22,26.83,123.87,21,240,,,,,,,,,,,5,4,4
15494,2009,3,23,25.16,121.78,,36,,,,,,,,,,,2,1,1
15496,2009,3,23,26.77,123.8,22,360,,,,,,,,,,,5,4,4
15498,2009,3,24,25.18,121.82,,48,,,,,,,,,,,2,1,1
15499,2009,3,24,25.06,121.94,,1.8,,,,,,,,,,,2,1,2
15500,2009,3,24,25.05,121.95,,120,,,,,,,,,,,2,1,1
15502,2009,3,24,26.58,123.7,22,720,,,12,,,,,,,,5,4,4
15503,2009,3,25,25.18,121.86,,180,,,,,,,,,,,2,1,1
15504,2009,3,25,26.55,123.63,21,120,,,,,,,,,,,5,4,4
15506,2009,3,26,25.45,121.86,21.6,60,10,,50,,,,,,,,4,2,3
15507,2009,3,26,25.14,121.86,,96,,,,,,,,,,,2,1,1
15508,2009,3,26,25.06,121.94,,120,,,,,,,,,,,2,1,2
15509,2009,3,26,25.05,121.95,,150,,,,,,,,,,,2,1,1
15510,2009,3,26,25.03,121.95,,75,,,,,,,,,,,2,1,1
15511,2009,3,26,25.07,121.97,,48,,,,,,,,,,,3,1,1
15513,2009,3,26,26.35,122.83,20,180,,,,,,,,,,,4,3,3
15514,2009,3,26,26.52,123.65,22,0,,,,,,,,,,,5,4,4
15515,2009,3,26,26.5,124.42,23.6,240,,,,,,,,,,,4,2,3
15516,2009,3,27,25.18,121.86,,6,,,,,,,,,,,2,1,1
15517,2009,3,27,25.51,121.87,20.9,120,10,,,,,,,,,,4,2,3
15518,2009,3,27,25.08,121.93,,15,,,,,,,,,,,2,1,1
15519,2009,3,27,25.06,121.94,,3.6,,,,,,,,,,,2,1,2
15520,2009,3,27,25.07,121.97,,6,,,,,,,,,,,3,1,1
15522,2009,3,27,26.48,122.87,19.1,360,5,,18,,,,,,,,3,2,2
15523,2009,3,27,26.7,123.77,20,30,,,6,,,,,,,,5,4,4
15524,2009,3,27,26.92,123.88,20,600,,,,,,,,,,,4,3,3
15525,2009,3,27,26.58,123.92,23.3,60,,,,,,,,,,,4,4,4
15526,2009,3,27,26.42,124.5,23.5,120,,,,,,,,,,,4,2,3
